customer_id,gender,age,city,loyalty_score
1,male,30,Mumbai,68.7
2,male,61,Bangalore,45.9
3,female,38,Chennai,56.6
4,female,58,Kolkata,69.4
5,female,63,Kolkata,76.8
6,female,36,Bangalore,89.6
7,male,56,Kolkata,35.5
8,male,65,Hyderabad,95.1
9,male,39,Chennai,63.7
10,male,37,Mumbai,78.8
11,male,54,Bangalore,70
12,male,48,Delhi,20.6
13,male,27,Delhi,7.1
14,male,35,Delhi,72.6
15,female,60,Chennai,51.1
16,male,56,Mumbai,70.2
17,male,63,Kolkata,47.7
18,male,37,Mumbai,31.2
19,male,35,Mumbai,28.5
20,male,28,Bangalore,73.1
21,female,39,Chennai,27.7
22,female,61,Delhi,71.5
23,female,35,Bangalore,38.4
24,male,51,Kolkata,77.1
25,male,40,Mumbai,14.3
26,male,18,Delhi,20.5
27,male,27,Chennai,68.6
28,female,18,Hyderabad,56
29,female,55,Mumbai,20.4
30,male,56,Mumbai,90.3
31,male,66,Mumbai,27.6
32,female,26,Mumbai,42.1
33,female,48,Delhi,20.2
34,female,24,Chennai,38.8
35,female,34,Bangalore,49.2
36,female,52,Delhi,29.5
37,female,65,Chennai,76.9
38,female,54,Bangalore,39.4
39,male,69,Mumbai,73
40,male,35,Chennai,20.7
41,female,50,Mumbai,37.7
42,male,21,Chennai,0.8
43,female,40,Kolkata,75.9
44,male,28,Hyderabad,62.6
45,female,69,Mumbai,81.8
46,male,26,Mumbai,45.6
47,female,47,Mumbai,80
48,male,25,Kolkata,64.8
49,male,57,Delhi,0.4
50,female,22,Bangalore,25.4
51,female,29,Mumbai,49.4
52,female,18,Mumbai,61.9
53,male,32,Delhi,6.6
54,male,42,Delhi,70.5
55,male,35,Hyderabad,54.4
56,male,55,Chennai,52.6
57,female,59,Mumbai,29.2
58,female,63,Chennai,59.5
59,male,43,Delhi,2.7
60,female,57,Delhi,6.5
61,female,20,Hyderabad,73.4
62,female,39,Bangalore,32.2
63,female,43,Kolkata,34.7
64,male,36,Kolkata,20.8
65,female,61,Kolkata,44.6
66,female,61,Delhi,5.2
67,female,64,Mumbai,30
68,male,56,Hyderabad,52.7
69,female,53,Bangalore,46.6
70,male,38,Kolkata,100
71,male,58,Hyderabad,38.9
72,female,65,Delhi,38.7
73,female,43,Kolkata,50.4
74,male,30,Bangalore,19
75,male,53,Chennai,87.6
76,male,41,Bangalore,57.2
77,male,58,Mumbai,19.2
78,female,43,Kolkata,79.3
79,male,38,Kolkata,3.4
80,female,35,Chennai,98.3
81,female,32,Chennai,86.5
82,male,32,Kolkata,58
83,female,23,Mumbai,11.1
84,male,60,Chennai,21.5
85,male,48,Delhi,27.9
86,male,45,Kolkata,24.1
87,female,25,Bangalore,49.8
88,female,46,Bangalore,94.5
89,male,38,Mumbai,44.4
90,female,34,Delhi,66.2
91,female,66,Chennai,68.9
92,female,41,Kolkata,87.2
93,female,67,Bangalore,3.4
94,female,53,Bangalore,40.4
95,male,48,Bangalore,78.5
96,female,64,Bangalore,81.5
97,female,51,Hyderabad,92.7
98,male,19,Mumbai,70.3
99,female,59,Chennai,24.5
100,female,20,Kolkata,50.6
101,female,47,Kolkata,3.2
102,male,25,Kolkata,64.7
103,female,69,Chennai,55.4
104,female,24,Mumbai,66.7
105,male,29,Delhi,93
106,male,36,Mumbai,68.7
107,female,43,Bangalore,32
108,male,45,Bangalore,19.9
109,male,32,Mumbai,85.5
110,male,31,Mumbai,19.4
111,female,65,Chennai,16.2
112,female,31,Chennai,20.7
113,male,20,Hyderabad,50.9
114,male,67,Kolkata,12.4
115,male,46,Hyderabad,93.8
116,male,23,Kolkata,96.6
117,female,66,Bangalore,97.4
118,male,40,Hyderabad,3.9
119,female,45,Hyderabad,94.6
120,male,31,Delhi,99.7
121,female,31,Mumbai,94.2
122,female,37,Chennai,67.1
123,male,30,Hyderabad,70.1
124,female,44,Chennai,12.2
125,female,52,Kolkata,87.4
126,female,62,Hyderabad,6
127,male,19,Kolkata,31.8
128,female,58,Hyderabad,99.1
129,female,62,Bangalore,42.2
130,male,57,Delhi,13.1
131,male,65,Kolkata,96.9
132,female,41,Mumbai,98.4
133,female,46,Mumbai,18.7
134,male,20,Bangalore,86.5
135,male,62,Bangalore,39
136,female,21,Mumbai,38.1
137,female,67,Kolkata,26.3
138,male,19,Mumbai,4.5
139,male,37,Delhi,26.8
140,female,32,Hyderabad,5.4
141,female,66,Delhi,92.4
142,male,49,Mumbai,66.2
143,female,59,Hyderabad,88.7
144,female,18,Mumbai,71.7
145,female,55,Delhi,13.1
146,female,52,Delhi,94.1
147,male,68,Kolkata,90
148,male,24,Kolkata,34.8
149,female,62,Delhi,11.2
150,female,30,Hyderabad,70.4
151,female,66,Kolkata,72.8
152,female,18,Kolkata,89.7
153,male,31,Chennai,5.3
154,female,46,Chennai,14.2
155,female,20,Kolkata,59.8
156,male,63,Mumbai,61.9
157,male,41,Hyderabad,3.4
158,female,18,Bangalore,39.7
159,male,65,Kolkata,58.4
160,male,27,Chennai,73.8
161,female,30,Hyderabad,31.6
162,female,53,Hyderabad,48.4
163,male,26,Chennai,81.4
164,female,31,Hyderabad,95.4
165,male,53,Hyderabad,23
166,male,27,Chennai,25.3
167,male,57,Delhi,94
168,female,40,Kolkata,39.6
