product_id,product_name,category,price,stock
1,Product_1,Books,379.52,221
2,Product_2,Books,30.7,87
3,Product_3,Clothing,419.45,279
4,Product_4,Electronics,469.35,163
5,Product_5,Books,496.88,230
6,Product_6,Home,67.01,378
7,Product_7,Beauty,308.57,455
8,Product_8,Electronics,103.73,356
9,Product_9,Electronics,134.94,34
10,Product_10,Books,374.06,473
11,Product_11,Books,488.95,429
12,Product_12,Books,299.45,363
13,Product_13,Home,426.04,217
14,Product_14,Clothing,9.4,426
15,Product_15,Books,23.13,12
16,Product_16,Clothing,300.38,224
17,Product_17,Clothing,197.55,404
18,Product_18,Electronics,445.43,121
19,Product_19,Beauty,154.48,451
20,Product_20,Beauty,218.87,201
21,Product_21,Home,266.32,411
22,Product_22,Home,140.15,56
23,Product_23,Beauty,454.7,498
24,Product_24,Beauty,234.94,437
25,Product_25,Electronics,214.96,230
26,Product_26,Electronics,425.63,196
27,Product_27,Beauty,159.43,59
28,Product_28,Books,409.65,206
29,Product_29,Books,65.53,225
30,Product_30,Electronics,95.48,422
31,Product_31,Clothing,475.67,230
32,Product_32,Beauty,422.01,389
33,Product_33,Home,197.01,99
34,Product_34,Books,321.04,241
35,Product_35,Clothing,471.77,332
36,Product_36,Books,109.87,267
37,Product_37,Clothing,34.21,162
38,Product_38,Beauty,271.05,265
39,Product_39,Beauty,75.59,412
40,Product_40,Beauty,97.72,433
41,Product_41,Electronics,446.31,267
42,Product_42,Clothing,8.66,476
43,Product_43,Home,409.33,74
44,Product_44,Home,260.89,199
45,Product_45,Beauty,281.85,100
46,Product_46,Home,337.53,447
47,Product_47,Books,218.57,182
48,Product_48,Clothing,62.23,256
49,Product_49,Clothing,55.9,265
50,Product_50,Clothing,378.41,125
51,Product_51,Books,114.41,58
52,Product_52,Electronics,18.91,236
53,Product_53,Books,489.91,498
54,Product_54,Clothing,490.29,78
55,Product_55,Clothing,192.18,431
56,Product_56,Clothing,17.63,397
57,Product_57,Home,365,410
58,Product_58,Electronics,416.35,135
59,Product_59,Books,66.88,446
60,Product_60,Clothing,72.05,222
61,Product_61,Beauty,412,62
62,Product_62,Electronics,461.34,121
63,Product_63,Beauty,396.42,168
64,Product_64,Electronics,104.37,249
65,Product_65,Clothing,208.7,159
66,Product_66,Electronics,302.42,148
67,Product_67,Electronics,84.35,427
68,Product_68,Clothing,109.25,122
69,Product_69,Beauty,145.03,152
70,Product_70,Beauty,257.21,379
71,Product_71,Home,257.85,147
72,Product_72,Beauty,408.08,495
73,Product_73,Beauty,377.74,489
74,Product_74,Electronics,457.3,446
75,Product_75,Home,417.29,313
76,Product_76,Clothing,130.67,40
77,Product_77,Clothing,168.99,302
78,Product_78,Books,252.71,117
79,Product_79,Home,12.06,293
80,Product_80,Electronics,452.43,168
81,Product_81,Books,26.95,335
82,Product_82,Books,164.61,23
83,Product_83,Clothing,286.74,131
84,Product_84,Beauty,261.33,224
85,Product_85,Electronics,328.96,281
86,Product_86,Home,266.12,34
87,Product_87,Books,118.36,432
88,Product_88,Electronics,104.53,331
89,Product_89,Clothing,454.09,303
90,Product_90,Books,135.66,178
91,Product_91,Books,144.08,112
92,Product_92,Clothing,209.41,363
93,Product_93,Clothing,74.02,380
94,Product_94,Clothing,256.1,49
95,Product_95,Electronics,334.19,244
96,Product_96,Electronics,394.07,329
97,Product_97,Electronics,357.17,98
98,Product_98,Beauty,78.08,109
99,Product_99,Books,230.75,153
100,Product_100,Electronics,24.1,91
